i,U,K,Px,Py,Pz
0,-59283257.151905335,29641792.33149371,-5305.688953275817,8574.259819911904,-4676.4334954175765
1,-59281136.63382067,29649395.26517574,-5305.68895327416,8574.259819909408,-4676.433495414767
2,-59278259.93667416,29659177.465130873,-5305.688953279377,8574.259819906538,-4676.433495414561
3,-59274352.97122478,29683441.467483893,-5305.688953283296,8574.259819903718,-4676.433495415429
4,-59269894.93889907,29688250.383876078,-5305.688953285577,8574.259819899476,-4676.433495410908
5,-59263561.5513736,29694446.49456311,-5305.688953286134,8574.259819894685,-4676.433495407833
6,-59256790.119169556,29702016.857037906,-5305.688953285345,8574.259819890158,-4676.433495408289
7,-59248917.86881296,29709187.165623154,-5305.688953287986,8574.259819891726,-4676.433495408208
8,-59240094.07747618,29705510.85045811,-5305.688953285143,8574.25981989225,-4676.433495408086
9,-59230441.56696202,29709394.87877304,-5305.688953283327,8574.259819886911,-4676.433495409859
10,-59220772.96261138,29717099.515995987,-5305.688953286344,8574.259819883719,-4676.433495411639
11,-59209906.44367345,29711473.06232852,-5305.68895328695,8574.25981987939,-4676.433495411083
12,-59198311.29632034,29710635.74972334,-5305.688953289672,8574.25981987531,-4676.433495409836
13,-59185577.07718356,29721677.385127686,-5305.688953294024,8574.259819875215,-4676.433495410253
14,-59172233.28844467,29716058.23419544,-5305.688953296373,8574.259819877112,-4676.43349541283
15,-59158579.061488375,29724003.09836311,-5305.6889532959485,8574.259819883939,-4676.433495411784
16,-59143699.945519336,29757267.043704174,-5305.688953294081,8574.259819886542,-4676.43349541075
17,-59129405.834944315,29773993.225412507,-5305.688953292366,8574.2598198869,-4676.433495411093
18,-59114185.18774593,29775017.847764496,-5305.688953292807,8574.25981988686,-4676.433495411131
19,-59099313.61194103,29768259.954179075,-5305.68895329368,8574.259819883258,-4676.433495416072
20,-59083997.7399442,29761652.055861637,-5305.688953295323,8574.259819880737,-4676.4334954215155
21,-59068855.08615058,29753352.395421155,-5305.6889532972245,8574.25981988073,-4676.433495422316
22,-59053682.35067424,29759828.403112896,-5305.688953300213,8574.259819881712,-4676.43349542082
23,-59038572.60093443,29749601.104189318,-5305.688953302598,8574.259819878935,-4676.433495419752
24,-59023607.271482326,29744884.306010876,-5305.688953305462,8574.259819874891,-4676.433495420896
25,-59008315.28707949,29737460.614178054,-5305.688953309619,8574.259819875471,-4676.433495418903
26,-58992120.71825891,29735117.548539806,-5305.688953310033,8574.259819880033,-4676.4334954142405
27,-58975819.706886135,29741535.209837884,-5305.688953310175,8574.259819880237,-4676.43349541136
28,-58960360.67675427,29740846.655794114,-5305.68895331352,8574.259819874125,-4676.433495412876
29,-58944239.955012456,29757985.886717185,-5305.688953319053,8574.259819866931,-4676.433495411663
