i,U,K,Px,Py,Pz
0,-59283257.151905335,29641792.331493776,-5305.688953275859,8574.259819911798,-4676.43349541765
1,-59281136.63382075,29649395.26517607,-5305.688953275826,8574.259819911924,-4676.433495417611
2,-59278259.93667419,29659177.465130568,-5305.688953275791,8574.259819911964,-4676.433495417656
3,-59274352.97122469,29683441.46748193,-5305.68895327578,8574.259819911946,-4676.433495417615
4,-59269894.93889912,29688250.383872025,-5305.6889532758405,8574.259819911842,-4676.4334954175665
5,-59263561.55137364,29694446.49455705,-5305.68895327591,8574.259819912222,-4676.433495417533
6,-59256790.119169556,29702016.857028205,-5305.688953275903,8574.259819911935,-4676.433495417599
7,-59248917.86881318,29709187.165618803,-5305.68895327585,8574.25981991194,-4676.433495417622
8,-59240094.07747649,29705510.850453783,-5305.688953275807,8574.259819911927,-4676.43349541755
9,-59230441.56696248,29709394.878773812,-5305.688953275778,8574.259819912102,-4676.433495417692
10,-59220772.962611295,29717099.51599208,-5305.68895327585,8574.259819912146,-4676.433495417567
11,-59209906.44367444,29711473.062323343,-5305.68895327584,8574.259819912095,-4676.43349541769
12,-59198311.29632113,29710635.74969121,-5305.688953275858,8574.259819911793,-4676.433495417602
13,-59185577.07718425,29721677.38499438,-5305.688953275819,8574.259819911842,-4676.433495417687
14,-59172233.28844759,29716058.234048642,-5305.688953275972,8574.25981991211,-4676.433495417607
15,-59158579.06149317,29724003.09816711,-5305.688953275821,8574.259819912157,-4676.433495417546
16,-59143699.94552419,29757267.043381743,-5305.688953275876,8574.259819912015,-4676.433495417686
17,-59129405.8349506,29773993.22494689,-5305.688953275886,8574.259819912078,-4676.433495417597
18,-59114185.18775393,29775017.847282887,-5305.688953275803,8574.259819911857,-4676.433495417653
19,-59099313.61195113,29768259.95377921,-5305.688953275931,8574.259819911982,-4676.433495417542
20,-59083997.73995423,29761652.05559556,-5305.688953275749,8574.25981991207,-4676.43349541757
21,-59068855.086157806,29753352.39490151,-5305.688953275819,8574.2598199118,-4676.433495417491
22,-59053682.35068318,29759828.40169718,-5305.6889532757805,8574.259819912,-4676.433495417625
23,-59038572.600951634,29749601.10282994,-5305.688953275827,8574.25981991201,-4676.433495417628
24,-59023607.27150669,29744884.30490758,-5305.688953275744,8574.259819912066,-4676.433495417471
25,-59008315.287104055,29737460.61374704,-5305.688953275765,8574.259819912006,-4676.433495417634
26,-58992120.7182584,29735117.548314672,-5305.688953275948,8574.259819911871,-4676.433495417659
27,-58975819.70688425,29741535.209587265,-5305.688953275837,8574.259819911935,-4676.433495417599
28,-58960360.67670926,29740846.65103526,-5305.6889532757505,8574.259819911807,-4676.433495417632
29,-58944239.95628219,29757985.889162563,-5305.688953275915,8574.259819912018,-4676.433495417732
30,-58927985.63080617,29748465.16431753,-5305.688953275903,8574.259819911846,-4676.433495417711
31,-58912223.966180615,29743328.033132095,-5305.688953275775,8574.259819911875,-4676.43349541757
32,-58896665.73049403,29741132.420469675,-5305.688953275969,8574.25981991203,-4676.433495417678
33,-58881820.22582153,29731559.090495165,-5305.688953275819,8574.259819911891,-4676.43349541756
34,-58867023.65322568,29726062.187418096,-5305.688953275887,8574.259819911893,-4676.4334954175765
35,-58852687.209807515,29722587.35507366,-5305.688953275912,8574.259819911866,-4676.433495417535
36,-58838911.823026545,29716200.394126903,-5305.688953275951,8574.259819911897,-4676.433495417753
37,-58825646.38095423,29708981.279101502,-5305.688953275837,8574.259819911986,-4676.433495417663
38,-58813683.5383619,29700831.45717947,-5305.688953275869,8574.25981991198,-4676.433495417676
39,-58802263.94306943,29692261.50184677,-5305.688953275989,8574.259819911995,-4676.433495417672
40,-58791075.118759416,29687043.242470913,-5305.6889532758705,8574.25981991197,-4676.433495417609
41,-58781453.14604308,29688076.30669278,-5305.68895327581,8574.259819911813,-4676.433495417728
42,-58772454.19169982,29691059.463327844,-5305.6889532759815,8574.259819911898,-4676.4334954176475
43,-58764104.83229689,29685545.463159617,-5305.688953275799,8574.259819911911,-4676.433495417678
44,-58756426.43607551,29681352.86987129,-5305.688953275814,8574.259819911887,-4676.433495417634
45,-58750366.8723742,29681990.431589693,-5305.688953275868,8574.25981991205,-4676.43349541754
46,-58745185.35518105,29683765.891600315,-5305.688953275926,8574.25981991205,-4676.433495417576
47,-58741568.43823373,29695528.43311652,-5305.688953275974,8574.25981991191,-4676.433495417581
48,-58738687.26014331,29712288.547636367,-5305.688953275887,8574.25981991187,-4676.43349541755
49,-58736104.44342724,29713629.26964166,-5305.688953275905,8574.259819912086,-4676.433495417609
50,-58735046.05869575,29725396.37079735,-5305.688953275774,8574.259819912031,-4676.433495417603
51,-58734265.00679884,29768372.695625182,-5305.688953275854,8574.259819911911,-4676.433495417507
52,-58733672.12484538,29862859.058306243,-5305.688953275851,8574.25981991202,-4676.4334954175965
53,-58733310.72120877,29958488.887452774,-5305.688953275817,8574.259819912028,-4676.433495417642
54,-58733443.355430394,29965686.826515105,-5305.688953275805,8574.259819912058,-4676.433495417489
55,-58733803.79643027,29973472.04799973,-5305.688953275786,8574.259819911946,-4676.43349541762
56,-58734571.39626013,29978064.95750077,-5305.688953275851,8574.259819911864,-4676.433495417623
57,-58735198.759026095,29982858.105021138,-5305.688953275966,8574.259819911967,-4676.433495417625
58,-58736342.9928024,30003968.56968677,-5305.688953275938,8574.25981991188,-4676.433495417659
59,-58736947.17132235,30058575.675239284,-5305.688953275907,8574.259819912118,-4676.433495417598
60,-58736835.700104855,30067222.123917013,-5305.688953275891,8574.259819912058,-4676.433495417624
61,-58736655.27918664,30070694.167517405,-5305.688953275851,8574.259819911917,-4676.43349541765
62,-58736014.281992786,30073876.68266283,-5305.688953275863,8574.2598199119,-4676.4334954175865
63,-58734443.153351225,30075913.168857604,-5305.688953275898,8574.259819911946,-4676.433495417559
64,-58732288.720268115,30078706.411003444,-5305.688953275892,8574.259819911971,-4676.4334954176
65,-58729314.65860792,30082887.497549538,-5305.688953275773,8574.259819911858,-4676.433495417648
66,-58725605.54706312,30088274.553855333,-5305.688953275878,8574.259819912008,-4676.43349541755
67,-58721055.67790266,30128474.845724035,-5305.688953275892,8574.259819912171,-4676.433495417612
68,-58715494.58946182,30238402.45248526,-5305.688953275867,8574.259819911822,-4676.433495417536
69,-58709100.53068387,30240227.610349923,-5305.688953275892,8574.259819911813,-4676.433495417621
70,-58701470.32054031,30237941.5419832,-5305.688953275934,8574.259819912078,-4676.433495417584
71,-58693040.24415391,30234390.095906474,-5305.688953275771,8574.259819912017,-4676.433495417626
72,-58684118.51807184,30233673.35381034,-5305.688953275839,8574.259819912006,-4676.43349541759
73,-58673847.414503805,30231699.161969766,-5305.6889532758805,8574.259819911955,-4676.433495417559
