i,U,K,Px,Py,Pz,Ne
0,-59094655.37767974,29641792.331493657,-5305.688953275889,8574.259819911866,-4676.433495417628,0.0
1,-59092427.01288142,29649701.058116738,-5305.6889532758905,8574.259819912058,-4676.433495417669,0.0
2,-59090802.25759149,29669722.99158065,-5305.688953275867,8574.259819911966,-4676.433495417563,0.0
3,-59088867.82058102,29655147.946402114,-5305.688953275796,8574.259819911997,-4676.433495417539,2.0
4,-59086533.69324846,29660635.695482776,-5305.688953275855,8574.259819911922,-4676.433495417569,2.0
5,-59082391.91008194,29671918.88167905,-5305.688953275827,8574.259819911818,-4676.433495417631,2.0
6,-59078779.56415327,29686677.581244387,-5305.6889532759005,8574.259819912046,-4676.433495417551,2.0
7,-59074131.5764944,29687267.35587158,-5305.688953275837,8574.259819912004,-4676.43349541765,2.0
8,-59069094.74256688,29687137.15822266,-5305.688953275838,8574.259819911967,-4676.4334954177375,2.0
9,-59062922.59239295,29688088.760801665,-5305.688953275903,8574.259819911915,-4676.433495417675,2.0
10,-59057652.24301684,29686356.161061563,-5305.688953275835,8574.259819911988,-4676.433495417664,2.0
11,-59051791.80568355,29683873.58426863,-5305.6889532758205,8574.259819912046,-4676.433495417555,2.0
12,-59045241.20708716,29684119.010227103,-5305.688953275955,8574.259819911938,-4676.433495417544,2.0
13,-59037283.47368416,29684949.28532985,-5305.688953275924,8574.259819911807,-4676.433495417527,2.0
14,-59029372.56900708,29683803.72065963,-5305.688953275804,8574.25981991198,-4676.433495417669,2.0
15,-59021372.80135832,29686207.301632084,-5305.688953275859,8574.25981991194,-4676.433495417534,2.0
16,-59012420.49721503,29685375.219251666,-5305.688953275818,8574.259819912057,-4676.433495417571,2.0
17,-59004356.8067692,29681695.02794721,-5305.6889532757305,8574.2598199119,-4676.43349541763,2.0
18,-58994882.61380895,29674100.294897478,-5305.688953275867,8574.259819911897,-4676.433495417635,2.0
19,-58986814.67135692,29672393.24071797,-5305.688953275883,8574.259819912044,-4676.433495417637,2.0
20,-58976664.93965338,29672470.878364135,-5305.68895327579,8574.259819912064,-4676.433495417617,2.0
21,-58966762.20839026,29692873.839438487,-5305.688953275805,8574.259819911877,-4676.433495417551,2.0
22,-58957439.06159997,29664861.717826705,-5305.688953275919,8574.259819911911,-4676.433495417599,4.0
23,-58946864.26560173,29663928.561965346,-5305.688953275887,8574.25981991189,-4676.433495417597,4.0
24,-58936948.321887486,29666827.57660973,-5305.688953275835,8574.259819911964,-4676.43349541769,4.0
25,-58926260.82631569,29666829.88244179,-5305.6889532758205,8574.259819912006,-4676.43349541766,4.0
26,-58915416.355741896,29670598.570895404,-5305.688953275907,8574.25981991217,-4676.433495417652,4.0
27,-58904556.17090285,29666424.451683033,-5305.688953275875,8574.259819911851,-4676.4334954177175,4.0
28,-58892958.692651905,29663216.10690154,-5305.688953275862,8574.259819911904,-4676.433495417591,4.0
29,-58881342.83762509,29665725.36133639,-5305.68895327584,8574.259819911973,-4676.433495417636,4.0
30,-58869243.34124302,29673455.095396753,-5305.688953275851,8574.259819911993,-4676.433495417654,4.0
31,-58857822.0305608,29666318.335214544,-5305.688953275798,8574.259819911886,-4676.43349541756,4.0
32,-58844600.12634852,29662917.70946651,-5305.688953275968,8574.259819911791,-4676.433495417506,4.0
33,-58831726.09112156,29669176.67248467,-5305.688953275892,8574.259819911906,-4676.433495417615,4.0
34,-58819112.31827054,29662014.72389052,-5305.688953275842,8574.259819911917,-4676.433495417543,4.0
35,-58806448.53176685,29657829.23173537,-5305.688953275877,8574.25981991206,-4676.433495417673,4.0
36,-58794333.077926986,29653940.016776074,-5305.688953275864,8574.259819911973,-4676.433495417591,4.0
37,-58782489.394109406,29643685.50063237,-5305.68895327587,8574.259819911835,-4676.433495417543,6.0
38,-58770577.114989474,29635513.95989208,-5305.688953275912,8574.25981991194,-4676.433495417651,6.0
39,-58759111.67489323,29630290.642220527,-5305.688953275878,8574.25981991185,-4676.433495417629,6.0
40,-58747990.03909326,29624105.03339768,-5305.688953275857,8574.259819911977,-4676.433495417649,6.0
41,-58738596.678540826,29638571.926442385,-5305.6889532758005,8574.259819911962,-4676.433495417611,8.0
42,-58729560.201695204,29641042.79738874,-5305.688953275905,8574.259819911827,-4676.433495417643,10.0
