i,U,K,Px,Py,Pz
0,-59283257.15190534,29641792.331493672,-5305.688953275851,8574.259819912011,-4676.433495417588
1,-59282426.67111618,29643779.039007295,-5305.688953275814,8574.259819911887,-4676.433495417629
2,-59281256.77832475,29645033.691570688,-5305.688953275876,8574.259819911902,-4676.433495417499
3,-59279873.566625275,29647994.19456435,-5305.688953275899,8574.259819911935,-4676.433495417557
4,-59278624.54663326,29653992.81778955,-5305.6889532758305,8574.259819911995,-4676.433495417626
5,-59277047.53133837,29661997.119647,-5305.688953275902,8574.259819911926,-4676.433495417588
6,-59275096.761163786,29662412.74347441,-5305.68895327579,8574.259819911998,-4676.433495417688
7,-59273092.12804699,29662324.73936561,-5305.68895327581,8574.259819911918,-4676.433495417619
8,-59271251.76240656,29662088.21391327,-5305.688953275839,8574.259819912018,-4676.4334954177075
9,-59268524.105995566,29661361.17110264,-5305.688953275886,8574.259819911851,-4676.433495417592
10,-59265802.7385314,29659979.60478258,-5305.688953275878,8574.25981991191,-4676.43349541752
11,-59263163.10589345,29660275.35143514,-5305.68895327594,8574.259819911935,-4676.433495417672
12,-59260146.628166094,29662433.072318804,-5305.688953275832,8574.25981991168,-4676.433495417702
13,-59256731.259310685,29660417.205348797,-5305.688953275805,8574.25981991203,-4676.433495417558
14,-59253350.51510101,29658163.018848963,-5305.688953275907,8574.259819911951,-4676.433495417704
15,-59250115.50293043,29655702.184190035,-5305.688953275832,8574.259819911971,-4676.4334954176575
16,-59245860.41026343,29653579.56125009,-5305.688953275944,8574.259819912104,-4676.4334954176875
17,-59241795.17833469,29651404.928848248,-5305.6889532758305,8574.259819912004,-4676.43349541756
18,-59237851.21382666,29651719.036244188,-5305.688953275867,8574.259819912031,-4676.433495417525
19,-59233723.513064705,29649041.67168162,-5305.688953275885,8574.259819911913,-4676.433495417638
20,-59229612.31667397,29650909.484608427,-5305.688953275843,8574.259819912048,-4676.433495417566
21,-59225075.12499643,29658893.092254803,-5305.688953275795,8574.25981991179,-4676.4334954176165
22,-59220593.89777753,29655087.017646663,-5305.688953275828,8574.25981991206,-4676.433495417609
23,-59215743.06527938,29651842.484486774,-5305.688953275787,8574.259819912075,-4676.4334954176475
24,-59210767.49972001,29652191.929411825,-5305.688953275952,8574.259819911991,-4676.433495417686
25,-59205141.701706745,29657999.065171678,-5305.688953275867,8574.259819911918,-4676.433495417474
26,-59199756.26121349,29654119.020595774,-5305.688953275794,8574.259819911831,-4676.43349541757
27,-59194180.996792436,29657179.890200496,-5305.688953275848,8574.259819911875,-4676.433495417648
28,-59188235.85343286,29673595.4056125,-5305.688953275806,8574.259819912246,-4676.43349541758
29,-59181970.416251004,29668381.064629797,-5305.688953275872,8574.259819911873,-4676.433495417733
30,-59175872.4850954,29664173.327154312,-5305.688953275825,8574.25981991197,-4676.433495417761
31,-59169644.16826211,29659644.816000596,-5305.688953275805,8574.259819912004,-4676.433495417581
32,-59162581.82835021,29655450.48701854,-5305.688953275874,8574.259819911938,-4676.43349541753
33,-59156378.259101465,29650715.659988977,-5305.688953275906,8574.259819911913,-4676.433495417658
34,-59149883.74848246,29646432.601729505,-5305.688953275883,8574.259819911977,-4676.433495417661
35,-59143454.32713536,29643436.692385763,-5305.68895327583,8574.259819911897,-4676.433495417649
36,-59137171.56680918,29639323.56294017,-5305.68895327593,8574.25981991203,-4676.433495417724
37,-59130719.94204589,29635118.633481137,-5305.68895327591,8574.259819912078,-4676.433495417713
38,-59124625.69100503,29629631.120923806,-5305.688953275856,8574.259819912042,-4676.433495417653
39,-59118210.5829079,29624736.317435905,-5305.688953275954,8574.259819911924,-4676.433495417576
40,-59111980.01630815,29619872.872043032,-5305.688953275885,8574.259819911811,-4676.433495417679
41,-59105597.189834334,29614771.60768575,-5305.688953275972,8574.259819912022,-4676.433495417676
42,-59099533.8459302,29609375.15516298,-5305.688953275834,8574.25981991185,-4676.433495417527
43,-59093733.18522666,29603402.216405824,-5305.688953275775,8574.25981991192,-4676.433495417633
44,-59087573.92738885,29598787.373041794,-5305.688953275846,8574.259819911862,-4676.433495417623
45,-59081541.067890584,29596946.333447047,-5305.688953275909,8574.259819911777,-4676.4334954176165
46,-59075510.42105165,29610101.27245483,-5305.688953275777,8574.259819911837,-4676.433495417629
47,-59069713.07836029,29652074.17882324,-5305.688953275839,8574.25981991201,-4676.433495417481
48,-59064128.70045058,29648401.11658627,-5305.688953275772,8574.25981991213,-4676.433495417589
49,-59057859.09967022,29644326.909243874,-5305.688953275882,8574.259819911997,-4676.4334954175865
50,-59051952.43367946,29639098.80244236,-5305.688953275822,8574.259819911924,-4676.433495417581
51,-59045274.37229571,29634537.707623266,-5305.688953275865,8574.25981991193,-4676.433495417615
52,-59038805.52136715,29629941.105281662,-5305.688953275745,8574.259819911826,-4676.4334954175065
53,-59032326.357049055,29624819.171378553,-5305.688953275853,8574.259819912073,-4676.433495417643
54,-59026232.57948554,29627618.3882859,-5305.68895327584,8574.259819911793,-4676.433495417647
55,-59020374.94657323,29651372.002549175,-5305.688953275866,8574.259819911873,-4676.433495417662
56,-59014129.317625485,29648419.322004586,-5305.688953275861,8574.25981991189,-4676.433495417602
57,-59007660.27546624,29644203.01716032,-5305.688953275821,8574.259819911798,-4676.43349541769
58,-59001258.76645092,29640589.367278326,-5305.688953275773,8574.259819911802,-4676.4334954176065
59,-58995037.7341592,29635076.774671257,-5305.688953275745,8574.259819911911,-4676.433495417748
60,-58989291.24794996,29630607.857533388,-5305.688953275823,8574.25981991182,-4676.433495417682
61,-58983292.60647996,29629058.95297078,-5305.688953275965,8574.259819912055,-4676.433495417644
62,-58977062.242112085,29624960.72353987,-5305.6889532760015,8574.2598199119,-4676.433495417539
63,-58970889.88529398,29620229.845833875,-5305.688953275802,8574.259819911867,-4676.4334954175565
64,-58965148.26332113,29615807.023760747,-5305.688953275919,8574.259819911964,-4676.4334954177675
65,-58959259.146892324,29615766.230824567,-5305.6889532758805,8574.259819911895,-4676.433495417532
66,-58953745.36310906,29628275.84919628,-5305.688953275857,8574.259819911937,-4676.433495417639
67,-58947848.67825572,29626258.417937707,-5305.68895327587,8574.259819911917,-4676.433495417615
68,-58942402.9075474,29624788.898409307,-5305.688953275701,8574.259819912058,-4676.4334954176165
69,-58936837.43428964,29627716.537220616,-5305.68895327585,8574.259819911973,-4676.433495417682
70,-58931685.263472766,29634843.99861791,-5305.688953276013,8574.25981991196,-4676.433495417658
71,-58926042.97592079,29649506.55728541,-5305.68895327586,8574.259819911855,-4676.433495417697
72,-58921052.566225305,29646355.455315575,-5305.688953275854,8574.259819912031,-4676.4334954176775
73,-58915812.98641271,29643365.449710023,-5305.688953275912,8574.259819911844,-4676.433495417586
74,-58910708.83554104,29639543.452011257,-5305.688953275908,8574.259819912018,-4676.433495417611
75,-58905943.349420965,29638224.354897086,-5305.688953275866,8574.259819911871,-4676.433495417592
76,-58901162.97206609,29639454.799607564,-5305.688953275839,8574.259819911787,-4676.433495417648
