i,U,K,Px,Py,Pz,Ne
0,-59283257.1519054,29641792.331493694,-5305.688953275844,8574.259819911871,-4676.433495417559,0.0
1,-59281428.34160281,29649701.05811653,-5305.688953275873,8574.259819911858,-4676.433495417671,0.0
2,-59279414.22480739,29669722.9915805,-5305.688953275855,8574.259819911947,-4676.433495417559,0.0
3,-59276893.47812363,29655147.9464023,-5305.688953275815,8574.259819912008,-4676.433495417532,2.0
4,-59274366.64971474,29660635.695482574,-5305.688953275836,8574.259819911784,-4676.433495417494,2.0
5,-59270427.03477953,29671918.881678957,-5305.6889532758105,8574.259819911787,-4676.433495417663,2.0
6,-59266426.20337264,29686677.581244312,-5305.688953275818,8574.25981991214,-4676.43349541756,2.0
7,-59261784.21048339,29687267.35587159,-5305.688953275868,8574.259819911977,-4676.4334954176275,2.0
8,-59256555.421349995,29687137.15822269,-5305.6889532758405,8574.259819911998,-4676.433495417686,2.0
9,-59250782.85677557,29688088.76080172,-5305.688953275846,8574.25981991194,-4676.433495417675,2.0
10,-59245320.807340324,29686356.161061417,-5305.688953275864,8574.25981991191,-4676.433495417665,2.0
11,-59239268.78517073,29683873.584268466,-5305.68895327585,8574.25981991205,-4676.43349541757,2.0
12,-59232526.9045887,29684119.010227073,-5305.688953275944,8574.259819911966,-4676.433495417495,2.0
13,-59224969.62712505,29684949.2853297,-5305.6889532759105,8574.259819911817,-4676.433495417571,2.0
14,-59217261.64457417,29683803.720659543,-5305.688953275761,8574.2598199119,-4676.433495417637,2.0
15,-59209267.65349569,29686207.301632065,-5305.688953275849,8574.259819911993,-4676.433495417565,2.0
16,-59200124.35802477,29685375.219251595,-5305.688953275752,8574.259819912033,-4676.43349541763,2.0
17,-59192066.9611539,29681695.027947318,-5305.6889532757505,8574.259819911847,-4676.43349541767,2.0
18,-59182598.75069801,29674100.29489739,-5305.688953275884,8574.259819911911,-4676.433495417637,2.0
19,-59173946.03652122,29672393.240717888,-5305.688953275918,8574.259819911995,-4676.433495417629,2.0
20,-59164394.05841737,29672470.878363945,-5305.688953275808,8574.259819912024,-4676.433495417643,2.0
21,-59155080.97086855,29692873.83943851,-5305.688953275833,8574.25981991193,-4676.433495417642,2.0
22,-59145360.51475713,29664861.717826713,-5305.688953275945,8574.259819911806,-4676.433495417719,4.0
23,-59134978.14120338,29663928.5619652,-5305.688953275966,8574.259819912017,-4676.433495417548,4.0
24,-59124657.27199819,29666827.57660984,-5305.6889532759205,8574.259819911822,-4676.433495417648,4.0
25,-59113763.03124043,29666829.882441822,-5305.688953275899,8574.259819911947,-4676.433495417645,4.0
26,-59102515.222282544,29670598.57089568,-5305.688953275922,8574.2598199121,-4676.433495417652,4.0
27,-59091252.720117204,29666424.451683022,-5305.688953275882,8574.25981991181,-4676.43349541763,4.0
28,-59079647.78345184,29663216.106901698,-5305.688953275888,8574.259819911855,-4676.433495417656,4.0
29,-59067828.36034912,29665725.361336716,-5305.688953275894,8574.259819912008,-4676.433495417702,4.0
30,-59055723.382061064,29673455.09539774,-5305.688953275868,8574.259819912219,-4676.433495417601,4.0
31,-59043507.79623721,29666318.33521548,-5305.688953275806,8574.25981991193,-4676.433495417591,4.0
32,-59030674.61367776,29662917.7094675,-5305.688953275961,8574.259819911993,-4676.433495417514,4.0
33,-59017992.76688809,29669176.67248583,-5305.688953275831,8574.25981991206,-4676.4334954176575,4.0
34,-59005177.398653865,29662014.72389148,-5305.688953275959,8574.25981991189,-4676.433495417562,4.0
35,-58992509.20767727,29657829.231736477,-5305.688953275838,8574.259819911902,-4676.433495417671,4.0
36,-58980190.146415815,29653940.01677781,-5305.688953275734,8574.259819911895,-4676.4334954176975,4.0
37,-58968528.64764239,29643685.50063318,-5305.688953275812,8574.259819911707,-4676.433495417599,6.0
38,-58956997.459400415,29635513.959891852,-5305.688953275881,8574.25981991187,-4676.433495417603,6.0
39,-58945710.65415376,29630290.642219607,-5305.688953275934,8574.259819911782,-4676.433495417597,6.0
40,-58934764.80211585,29624105.033395868,-5305.688953275865,8574.259819911893,-4676.433495417554,6.0
41,-58925549.211011745,29638571.926445205,-5305.688953275855,8574.259819911975,-4676.433495417637,8.0
42,-58916298.692253806,29664998.428872753,-5305.688953275778,8574.259819911957,-4676.433495417642,9.0
43,-58906976.030524164,29662468.230883315,-5305.688953275833,8574.25981991188,-4676.433495417566,9.0
44,-58898954.78443824,29664727.439782318,-5305.688953275902,8574.259819911998,-4676.433495417539,9.0
45,-58892678.43277197,29672626.203942623,-5305.688953275841,8574.259819911995,-4676.433495417665,9.0
46,-58887432.39816662,29684231.525692932,-5305.688953275846,8574.259819911775,-4676.433495417519,9.0
47,-58882770.32690266,29691182.955230568,-5305.688953275834,8574.259819911953,-4676.43349541769,9.0
48,-58879436.89941052,29691231.51719736,-5305.688953275795,8574.25981991193,-4676.43349541762,9.0
49,-58876299.485760346,29691357.940082572,-5305.688953275875,8574.259819911926,-4676.433495417567,9.0
50,-58874838.29470863,29694191.38369634,-5305.688953275947,8574.259819912051,-4676.433495417709,9.0
51,-58873047.148567714,29708220.144843444,-5305.68895327584,8574.259819911946,-4676.433495417572,9.0
52,-58873014.10504754,29713447.46440446,-5305.688953275791,8574.259819912078,-4676.433495417644,9.0
53,-58873078.80762573,29722220.562730107,-5305.688953275887,8574.259819911917,-4676.433495417671,9.0
54,-58873858.08086987,29727991.26376935,-5305.688953275792,8574.259819912044,-4676.433495417488,9.0
55,-58874613.70412101,29730486.335151847,-5305.688953275876,8574.259819911827,-4676.433495417636,9.0
56,-58875535.77668695,29736093.320398025,-5305.68895327576,8574.259819911907,-4676.433495417697,9.0
57,-58876471.07735534,29742995.339883562,-5305.688953275827,8574.259819912088,-4676.43349541768,9.0
58,-58877392.39070283,29751349.48685028,-5305.688953275874,8574.259819912151,-4676.433495417692,9.0
59,-58877762.656074464,29757059.272000045,-5305.688953275955,8574.259819912033,-4676.433495417626,9.0
60,-58877659.11945121,29770061.381946146,-5305.688953275792,8574.259819911926,-4676.43349541748,9.0
61,-58877364.26903149,29784242.954904873,-5305.688953275885,8574.259819912071,-4676.433495417593,10.0
62,-58875649.62881195,29788948.983284656,-5305.688953275873,8574.259819911838,-4676.433495417606,10.0
63,-58873486.92946212,29792874.225990687,-5305.688953275797,8574.259819911942,-4676.433495417634,10.0
64,-58870036.893084794,29799804.868924193,-5305.688953275862,8574.259819911907,-4676.433495417578,10.0
65,-58865580.8721801,29828621.715426292,-5305.688953275893,8574.259819911842,-4676.433495417566,9.0
66,-58860469.659871265,29827809.277442545,-5305.68895327582,8574.25981991194,-4676.433495417537,9.0
67,-58854564.47065493,29825233.6820451,-5305.688953275816,8574.25981991189,-4676.433495417496,9.0
68,-58847876.08079943,29822496.965647582,-5305.688953275799,8574.259819911986,-4676.433495417547,9.0
69,-58839939.80533187,29824685.88558263,-5305.6889532758705,8574.259819912015,-4676.433495417572,9.0
