i,U,K,Px,Py,Pz,Ne
0,-59283257.151905365,29641792.33149359,-5305.688953275837,8574.259819911942,-4676.433495417567,0.0
1,-59281428.82194444,29649697.34999286,-5302.02331305613,8576.367599195786,-4679.40857114094,0.0
2,-59279412.37325277,29669630.774650384,-5295.699132145748,8575.077213823364,-4678.650251878293,0.0
3,-59276895.69978193,29655144.86381065,-5291.328343358115,8575.276758442413,-4675.564976340179,2.0
4,-59274355.916878276,29660670.093903814,-5293.384134755146,8578.458654165284,-4672.804461305859,2.0
5,-59270396.11835568,29672008.1960953,-5296.345368099481,8582.356903991398,-4671.664443675255,2.0
6,-59266361.862242244,29687138.412900276,-5297.698360971212,8584.744049497667,-4671.451175517348,2.0
7,-59261638.405585386,29687714.964990437,-5297.751108911098,8585.50061087329,-4672.990591070028,2.0
8,-59256306.14702351,29687277.228414927,-5298.663034815293,8584.557596050365,-4676.761020526049,2.0
9,-59250435.41705123,29688088.393605404,-5298.722658317873,8585.972740226125,-4679.788873234991,2.0
10,-59244855.74476959,29686291.97341183,-5296.060693752694,8587.175943017459,-4681.494264303546,2.0
11,-59238714.31953964,29684127.499236885,-5295.141788905097,8582.986622045424,-4683.431582941092,2.0
12,-59231888.50351436,29683283.16694598,-5296.511962836392,8576.690740180538,-4684.732813826529,2.0
13,-59224258.444222294,29681708.197433997,-5299.240741486073,8572.339675667625,-4682.341428691178,2.0
14,-59216469.53272056,29680054.39479241,-5301.015510726807,8568.144086695169,-4677.327272333388,2.0
15,-59208418.23196333,29681393.46664018,-5300.678379756913,8563.576718419552,-4672.827165157436,2.0
16,-59199257.57407457,29679673.791145593,-5299.578366584835,8565.6526408572,-4669.969214397341,2.0
17,-59191248.18924086,29675087.353023585,-5299.153540196798,8569.624122894895,-4667.692979198875,2.0
18,-59181942.795408905,29700812.47735712,-5298.06348141033,8566.217329178284,-4665.298836845509,2.0
19,-59172796.74190103,29660409.488149643,-5292.6211668911155,8558.394678740104,-4663.098491088617,4.0
20,-59162643.33459304,29657592.51211655,-5283.018117792945,8553.074505381936,-4661.535252959337,4.0
21,-59153169.89648101,29660749.440233342,-5274.180066259675,8551.796528555713,-4660.927373168235,4.0
22,-59143738.139388494,29677838.519490916,-5271.067188438977,8551.324913140092,-4658.200946960662,4.0
23,-59134050.59269236,29674546.793477148,-5272.203136752309,8550.522488852603,-4653.419645877216,4.0
24,-59124568.099423625,29669450.053638477,-5274.283515803171,8547.843496993322,-4649.994434578889,4.0
25,-59114197.41553996,29671253.102000505,-5274.909453773305,8544.954829909644,-4651.055006850891,4.0
26,-59103192.56555064,29676386.64660446,-5272.293543957909,8543.802738089254,-4651.7727009512055,4.0
27,-59092194.42620655,29669316.240440693,-5271.715101136237,8542.755878672791,-4650.907475999666,4.0
28,-59080840.276725136,29680170.00344823,-5274.0477250110125,8542.322274863727,-4649.623213769486,4.0
29,-59069080.37805196,29654267.98896093,-5275.869644425484,8543.351324242525,-4647.020977274517,6.0
30,-59057094.358510695,29650814.73157001,-5275.182245136309,8543.121326474038,-4646.947769175482,6.0
31,-59044854.349118106,29650292.972683724,-5270.862906310692,8541.813790171507,-4648.706336484102,6.0
32,-59032333.79637704,29642066.76968447,-5264.8834671122595,8541.515483370245,-4648.9688364927115,6.0
33,-59020423.28520464,29638331.60889341,-5259.289702151548,8542.891260086546,-4648.550492375324,6.0
34,-59008185.92527815,29643454.102327444,-5256.223849206437,8544.375467211892,-4648.564505308558,6.0
35,-58996243.48633573,29636125.86667834,-5253.383078666407,8544.913080229444,-4647.200712417251,6.0
36,-58984645.4900339,29635399.723816175,-5248.558793379848,8544.72952439198,-4644.712142385315,6.0
37,-58973315.62876923,29635256.394844808,-5246.317208468622,8546.702525508663,-4641.42774373265,6.0
38,-58962232.48100712,29630570.528722048,-5248.421310919859,8549.774535319588,-4639.676068517137,6.0
39,-58952299.39863293,29625643.653784774,-5251.870348904556,8552.815439387292,-4639.321123991594,6.0
40,-58942366.26444054,29623452.159469113,-5258.730256662459,8554.99482565183,-4638.000359889219,6.0
41,-58933626.71690182,29625467.731604304,-5264.826955988949,8552.365644214593,-4638.87266951758,6.0
42,-58925550.57770815,29635223.26736459,-5270.57346560005,8550.301745998691,-4640.175335809687,6.0
43,-58917920.617090784,29633073.375658445,-5279.056600313343,8549.67889462539,-4640.907441161487,6.0
44,-58911182.89238628,29630508.16838303,-5288.700669883794,8546.713353856723,-4639.493094323188,6.0
45,-58905948.152802706,29631247.425084602,-5297.086682346115,8544.739964230981,-4634.19657415629,6.0
46,-58901587.74976214,29636718.5986606,-5303.059852052597,8545.698829684574,-4629.793504790403,6.0
47,-58897875.70929764,29645551.751154844,-5308.42459823317,8546.555557654421,-4627.000110460149,6.0
48,-58895026.372399144,29651785.034301676,-5312.383198443106,8546.884970525869,-4625.208149946289,6.0
49,-58892802.5405288,29662794.603972852,-5316.863676128565,8549.078623676176,-4624.668776059264,6.0
50,-58891415.512430735,29681268.937792383,-5322.222888591419,8551.403771045985,-4623.707762627999,6.0
51,-58889906.1540982,29687655.19893848,-5328.196717676559,8554.343620124375,-4622.792712992419,6.0
52,-58889470.33153102,29697993.99817677,-5335.876534442604,8559.681575341812,-4622.075276911552,6.0
53,-58888535.73253311,29712884.305478647,-5342.381711872149,8562.830327224767,-4620.573472293009,6.0
54,-58888979.31490021,29718918.551163103,-5344.046883942879,8566.70993226938,-4619.9859643357,6.0
55,-58888953.47246287,29724969.72987966,-5345.856644422129,8568.738463061385,-4623.093550805074,6.0
56,-58888618.10355275,29734883.1004251,-5348.472844070854,8567.199703177528,-4625.890541458455,6.0
57,-58888113.33731912,29749619.89232391,-5352.61086016323,8566.737365953344,-4622.721866839703,6.0
58,-58887704.87180943,29754859.891494166,-5360.535161377582,8567.379818259107,-4619.4043710102615,6.0
59,-58886600.00314454,29764866.29958391,-5368.967214101573,8569.53468005358,-4618.132284851411,6.0
60,-58885044.05949544,29771203.42846491,-5376.354125392049,8570.709301132027,-4617.024044105177,6.0
61,-58883060.234587066,29781379.496459056,-5384.797190600382,8573.326660082774,-4618.054093058006,6.0
62,-58880401.79766919,29783783.302902143,-5392.833990598652,8576.20969692292,-4621.703599753719,6.0
63,-58876333.7537857,29788868.468457974,-5401.705980328294,8575.279746178234,-4620.556776858768,6.0
64,-58871424.863482125,29789224.297785718,-5414.090747365923,8575.400116409595,-4613.320013230883,6.0
65,-58865615.98023939,29786371.397743266,-5423.742622250608,8580.442104102367,-4608.279417244066,6.0
66,-58858648.59074011,29790325.08601588,-5429.098156696039,8586.932864059198,-4603.529692226509,6.0
67,-58850975.66287318,29809749.844790157,-5433.976729479099,8590.081865734186,-4599.3012861655725,6.0
68,-58842521.788621016,29823413.038688205,-5441.688764191083,8589.573568799371,-4597.929425838706,6.0
69,-58832359.97510866,29802799.292616025,-5450.633160473672,8587.55586318728,-4595.474651131844,8.0
70,-58820531.24018436,29804738.639059715,-5458.372658381427,8585.432343592776,-4594.036601726582,8.0
71,-58808213.98164706,29797261.627592027,-5462.4192460027825,8584.93617818197,-4591.97691192832,8.0
72,-58794849.98094481,29791617.36394801,-5464.520166554152,8585.441507229447,-4589.418038352139,8.0
73,-58780456.20586268,29782965.676244758,-5464.268642326707,8586.368137320706,-4591.561380789432,8.0
74,-58765962.14086073,29775539.853907034,-5457.859855458233,8587.471162200094,-4595.03242159636,8.0
75,-58750607.25013235,29765645.326140672,-5451.760080890448,8587.575196700345,-4596.608668160733,10.0
76,-58733525.50110273,29753607.541747805,-5449.477144283367,8587.894196691734,-4596.917900507205,10.0
77,-58715592.95538793,29743059.575961538,-5448.350485076451,8589.038746253998,-4598.199173762728,10.0
78,-58697211.07794131,29743347.825996246,-5448.09736870718,8589.256628792204,-4598.751924042609,10.0
79,-58678641.879076645,29728438.561486542,-5449.513633615119,8589.51376938895,-4599.668051013073,10.0
80,-58659847.32683758,29711803.747915924,-5451.40895362789,8588.530800377346,-4602.41381739976,10.0
