i,U,K,Px,Py,Pz,Ne
0,-59283257.151905306,29641792.33149382,-5305.688953275849,8574.259819911973,-4676.433495417575,0.0
1,-59281136.63382079,29649395.265175834,-5305.688953275842,8574.25981991189,-4676.433495417615,0.0
2,-59278259.93667417,29659177.465130493,-5305.688953275811,8574.259819911787,-4676.433495417639,0.0
3,-59274352.97122474,29683441.46748191,-5305.688953275793,8574.259819911971,-4676.433495417577,0.0
4,-59269894.938899115,29688250.383872077,-5305.688953275829,8574.259819912048,-4676.433495417589,0.0
5,-59263561.5513737,29694446.494557135,-5305.688953275829,8574.259819912037,-4676.433495417538,0.0
6,-59256790.11916951,29702016.857028075,-5305.688953275829,8574.259819911817,-4676.433495417542,0.0
7,-59248917.86881316,29709187.16561892,-5305.688953275843,8574.25981991193,-4676.433495417602,0.0
8,-59240094.07747644,29705510.85045386,-5305.688953275849,8574.25981991177,-4676.433495417564,0.0
9,-59230441.56696241,29709394.878773734,-5305.688953275892,8574.259819912122,-4676.433495417571,0.0
10,-59220772.96261125,29717099.51599207,-5305.688953275847,8574.259819912164,-4676.433495417601,0.0
11,-59209906.44367442,29711473.06232341,-5305.688953275808,8574.259819911951,-4676.4334954176065,0.0
12,-59198311.29632119,29710635.749690928,-5305.688953275831,8574.259819911731,-4676.4334954176475,0.0
13,-59185577.077184245,29721677.384994093,-5305.688953275871,8574.259819911802,-4676.433495417728,0.0
14,-59172233.28844763,29716058.234048363,-5305.688953275909,8574.259819912108,-4676.433495417632,0.0
15,-59158579.06149322,29724003.098166987,-5305.688953275858,8574.259819912057,-4676.433495417572,0.0
16,-59143699.94552417,29757267.04338201,-5305.688953275896,8574.259819911897,-4676.433495417616,0.0
17,-59129405.83495058,29773993.2249473,-5305.688953275904,8574.259819912068,-4676.433495417536,0.0
18,-59114185.18775392,29775017.847283244,-5305.688953275768,8574.259819911824,-4676.433495417635,0.0
19,-59099313.61195105,29768259.95377956,-5305.6889532759105,8574.259819912093,-4676.433495417585,0.0
20,-59083997.739954256,29761652.055595916,-5305.68895327573,8574.259819912142,-4676.433495417579,0.0
21,-59068855.08615773,29753352.39490214,-5305.688953275862,8574.259819911826,-4676.433495417548,0.0
22,-59053682.3506832,29759828.401697777,-5305.688953275779,8574.259819912078,-4676.4334954176165,0.0
23,-59038572.600951575,29749601.102830347,-5305.68895327577,8574.259819911984,-4676.433495417639,0.0
24,-59023607.27150668,29744884.304907914,-5305.688953275814,8574.259819911955,-4676.433495417485,0.0
25,-59008315.28710401,29737460.613747727,-5305.6889532757605,8574.259819911851,-4676.433495417646,0.0
26,-58992120.71825838,29735117.54831528,-5305.688953275897,8574.259819911998,-4676.43349541752,0.0
27,-58975819.70688427,29741535.209587876,-5305.688953275774,8574.259819911986,-4676.433495417632,0.0
28,-58960360.67670925,29740846.651035514,-5305.688953275754,8574.259819912044,-4676.433495417663,0.0
29,-58944239.95628222,29757985.889161557,-5305.6889532759515,8574.259819912046,-4676.433495417572,0.0
30,-58927985.63080617,29748465.1643165,-5305.688953275714,8574.259819911967,-4676.433495417493,0.0
31,-58912223.96618068,29743328.033130847,-5305.688953275826,8574.259819911938,-4676.433495417519,0.0
32,-58896665.73049407,29741132.420468755,-5305.688953275776,8574.259819911955,-4676.433495417686,0.0
33,-58881820.22582161,29731559.090494443,-5305.688953275928,8574.259819911811,-4676.433495417465,0.0
34,-58867023.65322568,29726062.18741784,-5305.688953275928,8574.259819911915,-4676.433495417562,0.0
35,-58852687.20980748,29722587.355073314,-5305.688953275867,8574.259819912033,-4676.433495417633,0.0
36,-58838911.823026516,29716200.394126404,-5305.6889532759005,8574.259819911904,-4676.433495417622,0.0
37,-58825646.38095421,29708981.279100996,-5305.6889532758505,8574.259819912,-4676.433495417579,0.0
38,-58813683.53836185,29700831.457179092,-5305.6889532759005,8574.259819911946,-4676.433495417641,0.0
39,-58802263.94306952,29692261.501847632,-5305.688953275843,8574.259819911826,-4676.433495417614,0.0
40,-58791075.11875936,29687043.24247419,-5305.6889532758305,8574.259819912044,-4676.4334954175565,0.0
41,-58781453.14604293,29688076.306696903,-5305.68895327591,8574.259819911813,-4676.433495417659,0.0
42,-58772454.191699624,29691059.46333297,-5305.688953275905,8574.259819912098,-4676.433495417725,0.0
43,-58764104.83229654,29685545.46316618,-5305.688953275781,8574.259819911971,-4676.433495417546,0.0
44,-58756426.436074935,29681352.869880006,-5305.688953275935,8574.259819912053,-4676.433495417592,0.0
45,-58750366.87237375,29681990.43159869,-5305.68895327583,8574.259819911978,-4676.4334954174765,0.0
46,-58745185.35518011,29683765.891605653,-5305.688953275823,8574.25981991197,-4676.43349541759,0.0
47,-58741568.43823262,29695528.433103073,-5305.688953275755,8574.259819912042,-4676.4334954175665,0.0
48,-58738687.26014255,29712288.54756943,-5305.688953275859,8574.25981991191,-4676.433495417519,0.0
49,-58736104.44342636,29713629.269573815,-5305.688953275843,8574.259819912088,-4676.43349541756,0.0
50,-58735046.05869525,29725396.370625496,-5305.688953275824,8574.259819911993,-4676.4334954175765,0.0
51,-58734265.00680099,29768372.695138022,-5305.688953275828,8574.259819911786,-4676.433495417673,0.0
52,-58733672.12485147,29862859.05776296,-5305.688953275903,8574.259819912028,-4676.433495417653,0.0
