i,U,K,Px,Py,Pz,Ne
0,-59283257.15190534,18970747.092155818,-4244.551162620702,6859.407855929529,-3741.1467963340756,0.0
1,-59303953.214004375,19017133.24637077,-4244.551162620661,6859.407855929508,-3741.1467963341165,0.0
2,-59368547.60122558,19071865.587681483,-4244.551162620742,6859.407855929508,-3741.1467963341775,2.0
3,-59477279.324050196,19192905.80342306,-4244.55116262068,6859.407855929508,-3741.1467963340483,2.0
4,-59630191.670036145,19359464.72867571,-4244.551162620645,6859.407855929467,-3741.1467963340933,2.0
5,-59828476.38142358,19593749.560385756,-4244.551162620653,6859.407855929626,-3741.1467963340638,2.0
6,-60071313.567843474,19822775.068114772,-4244.55116262068,6859.407855929412,-3741.146796334067,4.0
7,-60360571.705927975,20121654.27149556,-4244.551162620693,6859.407855929515,-3741.1467963340365,4.0
8,-60697142.49660275,20466660.972383775,-4244.55116262074,6859.407855929559,-3741.1467963341775,4.0
9,-61082893.67809417,20862569.7981973,-4244.551162620698,6859.4078559294585,-3741.146796334096,4.0
10,-61517176.0800637,21303439.3684598,-4244.551162620728,6859.407855929624,-3741.1467963339983,4.0
11,-62003021.670907855,21805812.86370781,-4244.551162620736,6859.407855929627,-3741.1467963340783,4.0
12,-62540708.59835006,22386128.08191443,-4244.551162620719,6859.407855929494,-3741.1467963340806,4.0
13,-63130646.237792805,22989621.86303743,-4244.551162620644,6859.407855929576,-3741.1467963340665,4.0
14,-63773820.921277046,23645665.64326321,-4244.55116262068,6859.407855929402,-3741.146796334107,4.0
15,-64471010.58375571,24353897.789486405,-4244.551162620671,6859.4078559296995,-3741.1467963339805,4.0
16,-65224032.572159864,25120156.116955742,-4244.551162620725,6859.407855929621,-3741.146796334066,4.0
17,-66032738.59666713,25942546.469037864,-4244.551162620772,6859.407855929539,-3741.1467963340474,4.0
18,-66897584.14287014,26817608.164186753,-4244.551162620719,6859.407855929614,-3741.1467963340974,4.0
19,-67818881.3137075,27751111.45211592,-4244.5511626206635,6859.407855929574,-3741.1467963340842,4.0
20,-68796308.6825563,28734338.907433026,-4244.551162620727,6859.407855929655,-3741.1467963340133,4.0
21,-69828505.80507678,29794635.532004725,-4244.55116262073,6859.407855929495,-3741.1467963340956,4.0
22,-70911053.5317507,30941194.395131893,-4244.551162620591,6859.40785592959,-3741.1467963342175,4.0
23,-72040291.23185676,32125636.114149906,-4244.551162620735,6859.407855929436,-3741.1467963341156,4.0
24,-73209849.2972995,33333060.65628255,-4244.55116262078,6859.40785592948,-3741.1467963340474,4.0
25,-74413752.73552585,34582843.103734344,-4244.551162620646,6859.407855929434,-3741.14679633417,4.0
26,-75645738.31701878,35846207.648740515,-4244.551162620641,6859.407855929456,-3741.146796334098,4.0
27,-76898058.28038429,37122109.271059796,-4244.551162620676,6859.4078559295585,-3741.1467963340665,4.0
28,-78160977.30572756,38408740.979846045,-4244.551162620662,6859.407855929471,-3741.1467963340915,4.0
29,-79425592.70186602,39711489.267231114,-4244.551162620643,6859.407855929599,-3741.1467963340497,5.0
30,-80676691.97927919,41029152.8604561,-4244.551162620748,6859.407855929549,-3741.146796334129,4.0
31,-81904117.76117893,42318930.23632208,-4244.551162620564,6859.407855929617,-3741.1467963340574,4.0
32,-83092128.69112478,43553913.85119838,-4244.551162620731,6859.4078559295485,-3741.146796334084,4.0
33,-84227402.07916541,44745770.375108995,-4244.55116262067,6859.407855929505,-3741.146796334074,4.0
34,-85297880.97959593,45848140.76327313,-4244.551162620741,6859.407855929429,-3741.1467963341975,4.0
35,-86289229.20567703,46879248.837148964,-4244.551162620712,6859.407855929568,-3741.146796334216,4.0
36,-87195566.0338955,47827773.25557438,-4244.551162620636,6859.40785592969,-3741.146796334145,4.0
37,-88008158.27862379,48670868.85331772,-4244.551162620602,6859.407855929633,-3741.146796334083,4.0
38,-88726696.87409127,49439457.17823988,-4244.55116262067,6859.407855929573,-3741.146796334064,4.0
39,-89349348.64341815,50139117.34517165,-4244.551162620662,6859.407855929628,-3741.1467963341233,4.0
40,-89878532.79034679,50704012.616330296,-4244.551162620639,6859.407855929596,-3741.1467963341315,6.0
41,-90318247.59787652,51182905.18711622,-4244.551162620692,6859.407855929582,-3741.1467963341256,7.0
42,-90670320.1726122,51592872.08077974,-4244.551162620608,6859.407855929559,-3741.1467963341074,7.0
43,-90939276.9756292,51926411.333286345,-4244.55116262074,6859.40785592954,-3741.1467963341147,7.0
44,-91128030.68797944,52185183.47887298,-4244.551162620624,6859.407855929552,-3741.146796334109,7.0
45,-91240200.74885255,52346606.59134314,-4244.551162620658,6859.407855929507,-3741.1467963341074,11.0
46,-91278833.4805693,52464003.20898075,-4244.551162620657,6859.407855929526,-3741.146796334007,11.0
47,-91254078.33266719,52454165.25214855,-4244.55116262066,6859.407855929554,-3741.146796334079,14.0
48,-91167753.1846462,52411683.915005855,-4244.551162620655,6859.407855929426,-3741.1467963340865,14.0
49,-91024223.654932,52304336.10978389,-4244.551162620656,6859.407855929657,-3741.1467963341115,14.0
50,-90825833.70891944,52157984.60203354,-4244.551162620633,6859.407855929598,-3741.1467963341915,14.0
51,-90579200.24866621,51967905.48316653,-4244.551162620734,6859.407855929624,-3741.1467963341565,14.0
52,-90288777.0409565,51716888.03169501,-4244.551162620697,6859.407855929637,-3741.1467963341065,16.0
53,-89961327.16408,51441955.32410186,-4244.551162620627,6859.407855929579,-3741.1467963340615,16.0
54,-89606717.15944187,51119743.04607292,-4244.551162620615,6859.407855929592,-3741.1467963340356,18.0
55,-89227567.50197434,50811875.493404165,-4244.551162620601,6859.40785592958,-3741.1467963341265,20.0
56,-88832679.77604061,50450928.86574845,-4244.551162620682,6859.407855929621,-3741.146796333939,22.0
57,-88428963.73472156,50092508.01222982,-4244.551162620654,6859.407855929494,-3741.146796334118,24.0
58,-88017750.69211304,49731930.5056138,-4244.551162620613,6859.4078559295385,-3741.1467963341033,24.0
59,-87601101.72638841,49388518.783060044,-4244.551162620631,6859.407855929551,-3741.146796334207,24.0
60,-87177252.88408391,49001555.81709927,-4244.551162620671,6859.407855929543,-3741.1467963340783,26.0
61,-86747874.52892305,48605479.224103324,-4244.551162620662,6859.407855929522,-3741.1467963340465,28.0
62,-86313647.95835593,48190538.707351536,-4244.551162620658,6859.407855929532,-3741.1467963340438,30.0
63,-85877660.06655534,47812085.435553305,-4244.551162620697,6859.407855929552,-3741.146796334131,30.0
64,-85442979.6289719,47421907.2110552,-4244.551162620628,6859.407855929507,-3741.1467963341006,30.0
65,-85012207.5677295,47043155.349317215,-4244.551162620671,6859.407855929509,-3741.146796333932,29.0
66,-84587572.4557087,46671333.40513187,-4244.551162620702,6859.407855929551,-3741.146796334092,31.0
67,-84169093.54582213,46311033.85170543,-4244.5511626207,6859.407855929599,-3741.146796334124,32.0
68,-83758777.43218291,45938610.89824019,-4244.551162620677,6859.407855929484,-3741.1467963340574,34.0
69,-83360257.40782942,45578997.495476164,-4244.551162620692,6859.407855929469,-3741.1467963340997,34.0
70,-82974664.99933419,45226910.67150289,-4244.551162620645,6859.407855929594,-3741.146796334065,34.0
71,-82601493.71367645,44906014.39450265,-4244.55116262059,6859.407855929524,-3741.1467963341124,34.0
72,-82241000.20876266,44603952.50881203,-4244.551162620683,6859.407855929535,-3741.146796334101,34.0
73,-81894797.8503191,44256704.47619371,-4244.551162620685,6859.407855929557,-3741.146796334007,36.0
74,-81562518.06125101,43946681.149526246,-4244.55116262067,6859.407855929587,-3741.146796334061,36.0
75,-81248242.76238303,43651368.25544635,-4244.55116262065,6859.407855929566,-3741.1467963340724,36.0
76,-80951096.90138662,43377260.39634364,-4244.551162620702,6859.407855929588,-3741.1467963341006,38.0
77,-80666639.36998563,43128247.50916824,-4244.551162620674,6859.4078559294885,-3741.1467963341042,38.0
78,-80398530.2239716,42892100.80788162,-4244.551162620661,6859.407855929511,-3741.146796334032,38.0
79,-80146894.11584076,42696165.23627029,-4244.5511626206635,6859.407855929591,-3741.14679633408,38.0
80,-79910176.68610936,42514468.70237415,-4244.551162620682,6859.407855929458,-3741.1467963340788,38.0
81,-79687057.77998032,42315694.57135138,-4244.551162620653,6859.407855929409,-3741.1467963340915,38.0
82,-79479788.70445098,42119031.75921431,-4244.55116262068,6859.407855929559,-3741.146796334124,38.0
83,-79286520.6488862,41947720.50081291,-4244.5511626206735,6859.4078559296595,-3741.146796334101,38.0
84,-79108272.84108378,41821271.93786703,-4244.551162620677,6859.407855929492,-3741.146796334125,38.0
85,-78943109.27992429,41663469.97132591,-4244.551162620646,6859.407855929484,-3741.1467963340947,40.0
86,-78788331.37214161,41543516.403527185,-4244.551162620656,6859.407855929622,-3741.146796334116,40.0
87,-78643620.0507879,41418559.33754565,-4244.5511626206935,6859.40785592967,-3741.14679633407,40.0
88,-78507703.829711,41296101.88158617,-4244.551162620626,6859.407855929631,-3741.1467963341584,40.0
89,-78379606.00886732,41188227.81953134,-4244.551162620698,6859.4078559295585,-3741.1467963340638,40.0
90,-78260003.89722711,41090799.82136237,-4244.551162620638,6859.407855929505,-3741.146796334135,40.0
91,-78146587.06285939,40990889.96064895,-4244.551162620721,6859.407855929443,-3741.1467963340488,40.0
92,-78039925.8868475,40907174.94571165,-4244.551162620604,6859.407855929526,-3741.146796334068,40.0
93,-77940288.94000606,40872748.50227173,-4244.551162620737,6859.407855929656,-3741.146796334085,41.0
94,-77844237.81849553,40772809.94309691,-4244.551162620658,6859.4078559296795,-3741.146796334103,44.0
95,-77752413.11790273,40674696.4782145,-4244.551162620727,6859.4078559295085,-3741.146796334049,46.0
96,-77665081.23791017,40605558.196025185,-4244.55116262065,6859.407855929443,-3741.146796334079,46.0
97,-77582199.27150393,40545414.946543306,-4244.551162620717,6859.40785592958,-3741.146796334139,46.0
98,-77504131.29901901,40497883.44916427,-4244.551162620682,6859.40785592947,-3741.1467963340497,48.0
99,-77425325.6840985,40440791.62761521,-4244.551162620693,6859.407855929449,-3741.1467963340483,50.0
